Name,Level,ExperienceToNext,MaxHealth,MaxStamina,BaseDamage,MoveSpeed
Level_1,1,100,100,100,10,5
Level_2,2,135,112,106,10.9,5.06
Level_3,3,182,125.4,112.4,11.9,5.12
Level_4,4,245,140.5,119.1,13,5.18
Level_5,5,330,157.4,126.2,14.1,5.24
Level_6,6,445,176.2,133.8,15.4,5.31
Level_7,7,600,197.4,141.9,16.8,5.37
Level_8,8,810,221.1,150.4,18.3,5.44
Level_9,9,1093,247.6,159.4,19.9,5.5
Level_10,10,1475,277.3,168.9,21.7,5.57
Level_11,11,1991,310.6,179.1,23.7,5.63
Level_12,12,2687,347.9,189.8,25.8,5.7
Level_13,13,3627,389.6,201.2,28.1,5.77
Level_14,14,4896,436.3,213.3,30.7,5.84
Level_15,15,6609,488.7,226.1,33.4,5.91
Level_16,16,8922,547.4,239.7,36.4,5.98
Level_17,17,12044,613,254,39.7,6.05
Level_18,18,16259,686.6,269.3,43.3,6.12
Level_19,19,21949,769,285.4,47.2,6.2
Level_20,20,29631,861.3,302.6,51.4,6.27
Level_21,21,40001,964.6,320.7,56,6.35
Level_22,22,54001,1080.4,340,61.1,6.42
Level_23,23,72901,1210,360.4,66.6,6.5
Level_24,24,98416,1355.2,382,72.6,6.58
Level_25,25,132861,1517.9,404.9,79.1,6.66
Level_26,26,179362,1700,429.2,86.2,6.74
Level_27,27,242138,1904,454.9,94,6.82
Level_28,28,326886,2132.5,482.2,102.5,6.9
Level_29,29,441296,2388.4,511.2,111.7,6.98
Level_30,30,595749,2675,541.8,121.7,7.07
Level_31,31,804261,2996,574.3,132.7,7.15
Level_32,32,1085752,3355.5,608.8,144.6,7.24
Level_33,33,1465765,3758.2,645.3,157.6,7.32
Level_34,34,1978782,4209.2,684.1,171.8,7.41
Level_35,35,2671355,4714.3,725.1,187.3,7.5
Level_36,36,3606329,5280,768.6,204.1,7.59
Level_37,37,4868544,5913.6,814.7,222.5,7.68
Level_38,38,6572534,6623.2,863.6,242.5,7.77
Level_39,39,8872920,7418,915.4,264.4,7.87
Level_40,40,11978442,8308.1,970.4,288.2,7.96
